"","X_type","url","date","rawContent","renderedContent","id","replyCount","retweetCount","likeCount","quoteCount","conversationId","lang","source_url","nofollow","source_device","sourceLabel","retweetedTweet","inReplyToTweetId","longitude","latitude","hashtags","cashtags","viewCount","vibe"
"1","snscrape.modules.twitter.Tweet","https://twitter.com/Alan_S_Morrison/status/1621607211687448578","2023-02-03 20:31:01+00:00","The only reason I can think of for why people pay extra now to get cars, especially expensive fast ones, in Grey or matte colours is to be different to gloss 🔴, 🔵, ⚪, 💛, or it's the fashion.
Any other reasons?
My 'warmhatch' is Deep Black Pearlescent ⚫ &amp; I ❤️ it
#CarColours","The only reason I can think of for why people pay extra now to get cars, especially expensive fast ones, in Grey or matte colours is to be different to gloss 🔴, 🔵, ⚪, 💛, or it's the fashion.
Any other reasons?
My 'warmhatch' is Deep Black Pearlescent ⚫ &amp; I ❤️ it
#CarColours",1621607211687448320,0,0,0,0,1621607211687448320,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,"['CarColours']",NA,49,NA
"2","snscrape.modules.twitter.Tweet","https://twitter.com/LiveSlowDyeFast/status/1621604263574077447","2023-02-03 20:19:19+00:00","The early 2000s has to be the worst period in fashion of all time 💯😫","The early 2000s has to be the worst period in fashion of all time 💯😫",1621604263574077440,0,0,0,0,1621604263574077440,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,8,NA
"3","snscrape.modules.twitter.Tweet","https://twitter.com/FalkAppreciator/status/1621599425557835777","2023-02-03 20:00:05+00:00","Deciding to become a Hypebeast. No thoughts. Only fast fashion!","Deciding to become a Hypebeast. No thoughts. Only fast fashion!",1621599425557835520,0,0,0,0,1621599425557835520,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,40,NA
"4","snscrape.modules.twitter.Tweet","https://twitter.com/otherlindseyy/status/1621595510132940800","2023-02-03 19:44:32+00:00","And as a plus size person, the only places we can really find to do this with are fast fashion, which use horrific work practices. Try to find a few staple items and wear things more than once. It's ok if you're not following ""trends"" because they don't center you anyway 😭","And as a plus size person, the only places we can really find to do this with are fast fashion, which use horrific work practices. Try to find a few staple items and wear things more than once. It's ok if you're not following ""trends"" because they don't center you anyway 😭",1621595510132940800,0,0,1,0,1621595510132940800,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,9,NA
"5","snscrape.modules.twitter.Tweet","https://twitter.com/Miao993306/status/1621591960455634949","2023-02-03 19:30:25+00:00","The amount of people defending their over consumption is so frustrating. Like, people don't seem to realise the harm that comes with fast fashion. Both in regards to the climate and the workers who make the clothes","The amount of people defending their over consumption is so frustrating. Like, people don't seem to realise the harm that comes with fast fashion. Both in regards to the climate and the workers who make the clothes",1621591960455634944,0,0,0,0,1621591960455634944,"en","https://mobile.twitter.com","nofollow","Twitter Web App","Twitter Web App",NA,NA,NA,NA,NA,NA,3,NA
"6","snscrape.modules.twitter.Tweet","https://twitter.com/isoryles/status/1621590322663800834","2023-02-03 19:23:55+00:00","im personally triggered by peplum tops. don’t fucking start fast fashion companies","im personally triggered by peplum tops. don’t fucking start fast fashion companies",1621590322663800832,0,0,0,0,1621590322663800832,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,15,NA
"7","snscrape.modules.twitter.Tweet","https://twitter.com/EastTNSoldier/status/1621587105548746753","2023-02-03 19:11:08+00:00","#FridayFunDay 🇺🇸 Sale!
Fast &amp; #FreeShipping 💨 📦 
#shopping 🛍 #giftideas 🎁
#Deals 🎯 #Sales 🔥 #Online #ebay #kids #fashion #Fleece #Pajamas https://t.co/OQT3soqADw","#FridayFunDay 🇺🇸 Sale!
Fast &amp; #FreeShipping 💨 📦 
#shopping 🛍 #giftideas 🎁
#Deals 🎯 #Sales 🔥 #Online #ebay #kids #fashion #Fleece #Pajamas ebay.com/itm/2946740288…",1621587105548746752,0,3,4,0,1621587105548746752,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,"['FridayFunDay', 'FreeShipping', 'shopping', 'giftideas', 'Deals', 'Sales', 'Online', 'ebay', 'kids', 'fashion', 'Fleece', 'Pajamas']",NA,37,NA
"8","snscrape.modules.twitter.Tweet","https://twitter.com/Glennengler/status/1621586251190255617","2023-02-03 19:07:44+00:00","LVMH and H&amp;M earnings show luxury goods can weather more storms than fast fashion https://t.co/xZPybHpow0","LVMH and H&amp;M earnings show luxury goods can weather more storms than fast fashion bit.ly/3JAex2V",1621586251190255616,0,0,0,0,1621586251190255616,"en","http://dynamicsignal.com/","nofollow","Dynamic Signal","Dynamic Signal",NA,NA,NA,NA,NA,NA,15,NA
"9","snscrape.modules.twitter.Tweet","https://twitter.com/fallstores/status/1621585572149006343","2023-02-03 19:05:02+00:00","🤯 You won’t believe this! Be kind to the unkind people Unisex Hoodie selling at $34.50 🤯
by fallstores ⏩ https://t.co/ajXlRVLgi0
🚀 Selling out fast so be quick! 🚀

#fashion
#women
#men
#beauty
#model
#design
#art
#Valentine 
#fallstores https://t.co/U4D2uWzhsJ","🤯 You won’t believe this! Be kind to the unkind people Unisex Hoodie selling at $34.50 🤯
by fallstores ⏩ shortlink.store/vrQCqSk6OZ
🚀 Selling out fast so be quick! 🚀

#fashion
#women
#men
#beauty
#model
#design
#art
#Valentine 
#fallstores https://t.co/U4D2uWzhsJ",1621585572149006336,0,0,0,0,1621585572149006336,"en","https://www.mykapusta.com/post-studio","nofollow","Post Studio","Post Studio",NA,NA,NA,NA,"['fashion', 'women', 'men', 'beauty', 'model', 'design', 'art', 'Valentine', 'fallstores']",NA,27,NA
"10","snscrape.modules.twitter.Tweet","https://twitter.com/FastFashion55/status/1621584547472363521","2023-02-03 19:00:58+00:00","Style of V https://t.co/xKa6XcIpNp","Style of V https://t.co/xKa6XcIpNp",1621584547472363520,0,0,0,0,1621584547472363520,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,6,NA
